construction_name,construction_rotation,construction_center_lat,construction_center_lng,reference_point_lat,reference_point_lng,point2_lat,point2_lng,point3_lat,point3_lng,point4_lat,point4_lng
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),207,49.80229277538669,-97.08251014702485,49.80224770539069,-97.08370396217448,49.80224654445883,-97.08356527459948,49.80236388824709,-97.08355789838646,49.80232992675993,-97.08370143116352
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),99,49.80248927806293,-97.08212332801193,49.801770393354595,-97.08168802021949,49.801741514935486,-97.08179601137786,49.80185588438546,-97.08172916328354,49.801822480349436,-97.08188747891722
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),51,49.802272043379034,-97.08219675346366,49.80199980659546,-97.08107775637004,49.801958222680966,-97.08121715225357,49.801932282448774,-97.08109645575789,49.80203727766137,-97.08120371989413
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),102,49.80221919269113,-97.08217724615805,49.801486588953395,-97.08180082888632,49.80147320653191,-97.08191928148544,49.80157335259272,-97.08183498329475,49.80153133989154,-97.08193001973314
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),87,49.80234739030831,-97.08203490733266,49.80170262927978,-97.08137754112965,49.80165559541363,-97.08149633465592,49.80178073112992,-97.08144532366856,49.80173088092068,-97.08158649144204
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),235,49.80244707308432,-97.08228025338568,49.80276901685473,-97.08336711987923,49.802725967992444,-97.08324550928862,49.8028151622617,-97.08317181738374,49.802869791011005,-97.08335418391552
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),249,49.80244297695475,-97.08252555062501,49.802925063672554,-97.08345946004569,49.802864304961666,-97.08335759759885,49.802964097919215,-97.08327905641686,49.80299880956248,-97.08341756982004
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),59,49.802397117956666,-97.08246770235225,49.80202701541304,-97.08141829542508,49.8020141540317,-97.08164625162142,49.80194806738834,-97.08144785172188,49.802075436623376,-97.08153495340463
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),205,49.802332361691036,-97.08219598254742,49.8022604283703,-97.08338663408168,49.80226239209382,-97.08324796817658,49.802370439904095,-97.08324442407529,49.80234056884151,-97.0833872969488
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),198,49.80227703425801,-97.08228134185674,49.80211198323118,-97.08344953360721,49.80212483945096,-97.0833122724858,49.802173651899544,-97.0833387311295,49.80219725212107,-97.08344295460617
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),128,49.80223559768372,-97.08232409158674,49.8014706342377,-97.08248334233664,49.8015582806881,-97.08245511249976,49.8016062676166,-97.08259239823104,49.80149530589417,-97.08260931629692
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),357,49.802248832339,-97.08213388021565,49.802673115194416,-97.08113490726912,49.802629366335346,-97.08125591645725,49.80251503702283,-97.08122431948897,49.802567910225214,-97.08103750332268
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),265,49.8024241927589,-97.08242541295242,49.80305374969128,-97.08311726096723,49.80297722303548,-97.08304529273346,49.80306755602069,-97.08290382984028,49.80306737423646,-97.08302259190921
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),310,49.80232054401431,-97.08219689893852,49.80308145398616,-97.081996376179,49.80299449691053,-97.08202932958467,49.80300730150901,-97.08189442295686,49.80308618298945,-97.08183061736015
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),257,49.80235362548679,-97.0821995799317,49.802914909726624,-97.08302044617331,49.80284559244328,-97.08293267675353,49.80287623592748,-97.08278921627011,49.802972462294804,-97.08294280601217
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),205,49.802236666717576,-97.08205439161183,49.802164733396864,-97.08324504079269,49.80216669712036,-97.08310637516169,49.80227292436761,-97.0831664994188,49.80225306696479,-97.0832507072782
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),335,49.80223507414178,-97.08246054105173,49.80286999538264,-97.08178056534956,49.80280017438452,-97.08186737093664,49.80276978440581,-97.08177025321224,49.80277410345042,-97.08167030303369
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),117,49.80217471100669,-97.08219922449098,49.80140418959131,-97.08212940555106,49.80137932493371,-97.08225480317608,49.80149370237971,-97.08212760466945,49.80151249968417,-97.0822977387913
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),174,49.80212998111884,-97.08216412864962,49.80167252736202,-97.08312730805385,49.80172030566945,-97.0830100163406,49.80179715535565,-97.08304647784306,49.80176950694347,-97.08324247360031
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),329,49.80234668731563,-97.08215514761227,49.80302400531256,-97.08158172362276,49.80294871041902,-97.08165674595361,49.802915582078725,-97.08149697966773,49.8030036708041,-97.08141476558083
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),257,49.80209598649975,-97.08224262557846,49.8026572707396,-97.08306348745177,49.802587953456246,-97.08297571849907,49.80262775566669,-97.08287281341877,49.80272028782641,-97.08297684237797
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),50,49.802360075311334,-97.08234863005966,49.80210048466697,-97.08122243993638,49.80207705807516,-97.08141851342468,49.80203771947548,-97.0812852869972,49.802136531139695,-97.08134939774794
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),231,49.80230662666203,-97.08218985348539,49.802578852671544,-97.08330886396243,49.80254138389474,-97.08318289739469,49.80260537149653,-97.08312794146084,49.80269965543765,-97.08327664268111
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),318,49.80244576269519,-97.08222801071615,49.803181255266175,-97.08186536136748,49.8030981045486,-97.08191674523914,49.80303729002987,-97.08179126561792,49.8031263524979,-97.08173622891387
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),307,49.80216889487139,-97.08193641086905,49.80293553548985,-97.08179786450683,49.80284758445542,-97.08182372134179,49.80280768538031,-97.08165072434747,49.802934605871265,-97.08168752822426
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),196,49.80253300751949,-97.08220847217054,49.80234174341721,-97.08336703350982,49.80235768362358,-97.08323055050732,49.802437530363605,-97.08327540124775,49.80240652967195,-97.08341172384975
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),181,49.80219510925958,-97.08207381380291,49.80181682710454,-97.08311619133289,49.801855023341425,-97.08299075221848,49.80194617815398,-97.08305066292523,49.80190007030355,-97.08316384284619
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),125,49.802213328429225,-97.08242511970329,49.80144403397781,-97.08252212437799,49.80153251389343,-97.08250104003488,49.801579633848334,-97.08267990139602,49.80146969916254,-97.08261216221963
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),350,49.80239488548696,-97.0818618649365,49.80289458286657,-97.08095044840701,49.80284164178142,-97.08106229531451,49.802727519322225,-97.08099465556481,49.80279381214014,-97.08090376157413
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),121,49.80249921612267,-97.08201526981844,49.80172742818258,-97.08202889592917,49.801816641848056,-97.08201742530805,49.801817450840645,-97.08213610084536,49.801750494229054,-97.08212857511677
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),89,49.80228702947707,-97.08216916841592,49.80162785400458,-97.08154706657767,49.801560502527195,-97.08166652017947,49.801707435083664,-97.08161058471212,49.801667584057185,-97.08179184549127
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),112,49.80233274653998,-97.0822037557316,49.80156908465705,-97.08203015584924,49.80156904661866,-97.08221446058256,49.80165835813708,-97.0820404488922,49.801662634454836,-97.0821651290153
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),29,49.802205959212834,-97.0821165279255,49.80222409866789,-97.08092100391043,49.80215360834787,-97.08103317285804,49.80213457295476,-97.08093040450412,49.8022283855274,-97.08105954396795
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),103,49.802228196832246,-97.08188618665648,49.801491464604865,-97.08152963600247,49.80144329818439,-97.08170836457548,49.80157859975462,-97.08156143918649,49.80156971211855,-97.0816384890283
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),17,49.8022829210488,-97.08214385565836,49.80246109410346,-97.08098029625786,49.80244669627674,-97.081117190443,49.80235593633553,-97.0810619633147,49.80239016375015,-97.08091986365461
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),202,49.80245029535819,-97.0820450513549,49.80233824158801,-97.08322824066244,49.80234488661661,-97.08308992379712,49.8024189957422,-97.08310610498361,49.802422874401636,-97.08325164365466
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),7,49.8025020122834,-97.08226442609194,49.80280788711595,-97.08116647400131,49.80277836528211,-97.08129741567629,49.80269386940669,-97.08125098244885,49.80272468360102,-97.08112154125125
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),152,49.802088390950765,-97.08208392232144,49.801431367510276,-97.08271146265568,49.80150402585121,-97.08263044181838,49.80159086536289,-97.08275670387016,49.80147698403435,-97.08287595862332
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),269,49.802195128651434,-97.08246356091135,49.802854300793875,-97.08308567850892,49.802774720360084,-97.08302215692903,49.802839866674375,-97.08294643962445,49.802871399580496,-97.08297312630631
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),31,49.8023005757564,-97.0822007166694,49.802291774840675,-97.08100493809715,49.80221499948978,-97.08115218541722,49.80222997777132,-97.08097235789631,49.80229917971963,-97.08114316215891
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),192,49.802186079208894,-97.08201038319757,49.801943119703985,-97.08314544215537,49.80196516588363,-97.08301101549438,49.80204726135897,-97.08308272652614,49.80202785236718,-97.0831944472417
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),11,49.80239185902947,-97.08220701933442,49.80264755619893,-97.0810786862836,49.80262400160157,-97.08121249926423,49.80255553796615,-97.08111232034257,49.80257820842301,-97.08106237133431
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),117,49.80245629647472,-97.08240491071847,49.80168577505934,-97.08233509137246,49.80166171228533,-97.08250891090897,49.80177528784775,-97.08233329048039,49.80176149054721,-97.082470119583
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),171,49.802157516750974,-97.08215919584877,49.801668154527285,-97.08308396226481,49.80171982937167,-97.08297070542986,49.80175672602091,-97.08308833379088,49.801729793253976,-97.08314597789263
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),232,49.802329687442814,-97.08219593039216,49.80261447680895,-97.0833074100518,49.80257559481941,-97.08318247574954,49.80265479689625,-97.0831896661226,49.80268750333161,-97.08324389266198
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),45,49.80246957943432,-97.08214524341467,49.802274327752265,-97.08098828148633,49.80221644652531,-97.0811789414726,49.80217874554815,-97.08100518645855,49.80230309534669,-97.0811196241752
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),102,49.802378091638005,-97.08220409299695,49.80164548790026,-97.08182767448982,49.8016453562699,-97.08196555607759,49.801732251539576,-97.08186182901036,49.80168806295189,-97.08201867533012
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),199,49.80218226030239,-97.08228517281773,49.80203039323023,-97.08345764749001,49.80204170134679,-97.08332005987708,49.80211416596017,-97.08339098419398,49.80210511555399,-97.08341324249723
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),115,49.80233550407808,-97.08200553555176,49.80156702471726,-97.08189409594684,49.801548531119664,-97.08202085066057,49.80165652354362,-97.08189713614581,49.80166157761367,-97.08199822207035
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),150,49.80212265151004,-97.08209212035283,49.80145189284895,-97.08268375284884,49.80152633193799,-97.08260670999152,49.80153987220282,-97.08269621731033,49.80153846788882,-97.0828188885983
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),113,49.80230744714835,-97.08231935139592,49.80154194610102,-97.08216642721204,49.801631321928056,-97.08217430478992,49.801642151090384,-97.08234305513982,49.80156787798689,-97.08231993183443
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),53,49.80236876876545,-97.08215221798368,49.802071492311626,-97.08104862090951,49.80203056772104,-97.08123248832659,49.8019731003474,-97.0811492942366,49.802111777890616,-97.0811724817772
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),167,49.80230572910067,-97.08202746583162,49.80177592331874,-97.08289709328751,49.80183257143141,-97.0827896968797,49.80190974461839,-97.08283248671736,49.801816571790916,-97.08298508705823
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),336,49.802503750850974,-97.08216090340574,49.80313091595947,-97.08146385892556,49.80306208339717,-97.08155253978062,49.80300857522604,-97.08142832122144,49.8030737386691,-97.08136720053025
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),200,49.80231531973698,-97.08216296835406,49.80217668288129,-97.08333937432421,49.802186439449684,-97.08320150148208,49.802257219949134,-97.08325847470321,49.802243217432355,-97.08331315727065
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),359,49.80225786792377,-97.08197290156623,49.802659390350314,-97.08095159524702,49.80261839388601,-97.08107489630933,49.80252575010351,-97.08106520949387,49.80256659905091,-97.08087174653372
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),110,49.80249446936677,-97.08238388056402,49.80173518302712,-97.08216909364184,49.8017278413312,-97.08232631822558,49.80182417027432,-97.08218420751766,49.801803157523096,-97.08229832130397
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),199,49.8023229854834,-97.08203281329544,49.80217111841122,-97.08320529137568,49.80218242652778,-97.08306770336283,49.802253360980274,-97.08313249697468,49.80227343610184,-97.08323463320907
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),306,49.802250631429374,-97.0825688773028,49.803018715908664,-97.082451082147,49.80293048701123,-97.08247455681533,49.80291979975779,-97.08232906733288,49.80302350986732,-97.0823315154867
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),114,49.80223835308764,-97.08207984940113,49.80147124605128,-97.08194764759362,49.80146174530138,-97.08208346031572,49.80156069700138,-97.08195310730478,49.80153168791489,-97.08208653611929
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),49,49.802513510749385,-97.08234525816933,49.802266645319285,-97.08121221650309,49.802237961687744,-97.08136517176484,49.80217293586943,-97.08131965703556,49.80230125621846,-97.08134013010722
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),1,49.80235526888258,-97.08213112448324,49.802733541688404,-97.08108872721606,49.802695347566306,-97.08121417015245,49.8026251392872,-97.08114795106157,49.80265953622157,-97.08105676947733
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),264,49.80248803917075,-97.081953405039,49.803109707085326,-97.08266217209956,49.803034002751566,-97.08258814539745,49.80309644364319,-97.0824788341116,49.803142096278904,-97.08260473397249
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),95,49.80257553700595,-97.08236524684479,49.80187800210272,-97.08185330360601,49.80183928568353,-97.08196889125162,49.80196143252191,-97.08190358604239,49.8019454516875,-97.08199777528968
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),205,49.802344912746676,-97.0822334636214,49.80227297942594,-97.08342411546433,49.802274943149456,-97.08328544952329,49.80236875608884,-97.08328565740402,49.80234406315617,-97.08341847354963
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),343,49.80224310394408,-97.08225956626775,49.802810766487205,-97.08144929924909,49.802749422408795,-97.08155031572414,49.802663175811006,-97.08151383233172,49.802738155161016,-97.08137255775196
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),84,49.802367135673826,-97.08219443821082,49.801745463437,-97.0814856911219,49.80169639517103,-97.08159529106872,49.801821168626454,-97.0815597137531,49.8017566041218,-97.08164054467444
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),29,49.80225533345567,-97.08198412008564,49.80227347291073,-97.08078859485134,49.80216266351338,-97.08093862868455,49.802176892557625,-97.0807968487333,49.80227775977023,-97.08092713505015
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),90,49.80230224499615,-97.0821786977964,49.801636162402644,-97.0815745144768,49.80157413797951,-97.08174631473672,49.801716446846065,-97.0816358711244,49.801699073673,-97.08172608780818
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),222,49.80217797484956,-97.08208760872706,49.802333866209054,-97.08325881848242,49.80230957719281,-97.08312532191452,49.80236719581259,-97.0830766370781,49.80242154639418,-97.08322384624609
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),66,49.80237479278251,-97.08230739042205,49.801924905095504,-97.08133568903038,49.801884653109084,-97.08152399957343,49.80185331921257,-97.08142717817287,49.80198214141821,-97.08144233449791
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),351,49.80233239329592,-97.08215090121858,49.802821748161094,-97.08122611276762,49.802770075008745,-97.08133937403353,49.80271585406714,-97.08130747198646,49.80275927983039,-97.08117312321197
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),141,49.80256290480038,-97.08217383486273,49.801840668590145,-97.0825956157964,49.801921970049264,-97.08253756249196,49.80192889811509,-97.08264280569027,49.80187724887711,-97.08272225864003
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),197,49.80228768435258,-97.08231457686821,49.802109499648864,-97.08347812781881,49.80212390005538,-97.08334123523849,49.80221181691777,-97.08336943901563,49.80219729487661,-97.08349171654055
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),10,49.80236618043323,-97.08190372259855,49.80263454846623,-97.08078247597241,49.802609490155575,-97.0809156316084,49.80252665956069,-97.08092756793846,49.802556222796674,-97.08074169014662
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),292,49.80224845406658,-97.08218191888722,49.803012115690194,-97.08235552394392,49.80292284223999,-97.08234522999189,49.802965712358194,-97.08218840703012,49.80302474006514,-97.08224785977208
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),162,49.802303200658415,-97.08223497116495,49.80172649207359,-97.08302974709048,49.801788965959304,-97.08293040880629,49.80184979321057,-97.08307295965022,49.80174987456143,-97.083130682512
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),204,49.802262719252056,-97.08201237756077,49.802177385094765,-97.0832009007973,49.802180910486015,-97.08306230934623,49.80224398935357,-97.08311797414342,49.802248819036045,-97.08314581728443
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),100,49.80222413787948,-97.08238123940492,49.801500459260545,-97.08196543870447,49.801455472183434,-97.08208905909059,49.8015864007152,-97.08200426365639,49.801570469274836,-97.08219917836416
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),96,49.80238245532871,-97.08249033589918,49.80167926003579,-97.08199733386893,49.80167420782111,-97.08207546350924,49.80176324413938,-97.08204535253256,49.801718623853375,-97.0821811673129
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),262,49.80237641704957,-97.08219897359332,49.80298174128585,-97.08294092240534,49.802907750520745,-97.08286284740957,49.802969203195524,-97.08280749272124,49.80306023097347,-97.0827935647237
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),97,49.8023119684035,-97.08206930225204,49.80160332691822,-97.08159539024527,49.80155890787232,-97.08167768579196,49.80168783912448,-97.0816411306445,49.80163239105485,-97.08171835387668
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),168,49.802346485352636,-97.08243325922504,49.8018265559664,-97.08331708091102,49.801881985711,-97.08320816900853,49.80191941244993,-97.08330051684891,49.801909909905646,-97.08340407170134
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),299,49.80233426698681,-97.08218856985404,49.80310589170321,-97.08221668442833,49.80301647400345,-97.0822233242911,49.803029402288146,-97.08209429379822,49.80305817673712,-97.08208031982986
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),309,49.80227096863026,-97.08257008451136,49.80303402144853,-97.08239016788144,49.80294670642189,-97.08242076483981,49.802958198895226,-97.08230332408972,49.80302562929569,-97.0823059055109
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),324,49.80256739522066,-97.08233627869029,49.8032743923862,-97.08185649799447,49.80319516381659,-97.08192106738042,49.80314293844149,-97.08179578299294,49.8032083822848,-97.08172134221242
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),63,49.80237806404866,-97.08254058606289,49.80196161600741,-97.08153373601007,49.801949506501494,-97.08171599385156,49.80186941156285,-97.08162300620117,49.80201517151383,-97.08164487647488
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),162,49.8023197865991,-97.08219954170532,49.80174307801427,-97.08299431790313,49.80180555189998,-97.08289497958492,49.801891673510724,-97.08293612346962,49.80180102385854,-97.08309551909184
