construction_name,construction_rotation,reference_point_lat,reference_point_lng,point2_lat,point2_lng,point3_lat,point3_lng,point4_lat,point4_lng
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),303,49.80275247673718,-97.07727519493785,49.80274380590428,-97.077136871054,49.80285475234353,-97.07716172127373,49.80284987806055,-97.07728793955135
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),164,49.80157211017119,-97.07803707364975,49.80156833587963,-97.07820476054015,49.801537812719566,-97.07813465073124,49.80165506397137,-97.07807696672982
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),106,49.80141069031486,-97.07704262942184,49.80138104845644,-97.07719487796908,49.801296415248444,-97.07715008805174,49.801325025038,-97.07702158280716
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),295,49.80274934726139,-97.07742265947452,49.80273169678498,-97.07729443778064,49.80284099990572,-97.07728869586722,49.80283315470364,-97.07743361400954
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),164,49.80157211017119,-97.07803707364975,49.80151236311227,-97.07815626518916,49.801627580095605,-97.0781109906112,49.80160865692954,-97.07827752173054
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),250,49.80250100302598,-97.07813477875199,49.80256641989703,-97.07809384598193,49.80262910487932,-97.07820248018946,49.802555630043265,-97.07826422666648
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),350,49.80251712312252,-97.07651469335926,49.80244094301413,-97.07645105387364,49.802459621256844,-97.07634099793503,49.80255547711311,-97.07637079707115
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),186,49.801783155393075,-97.07827362824287,49.801730185450914,-97.07839011961025,49.8018780471483,-97.0783281322472,49.801801865083604,-97.07841765814084
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),63,49.80170747429324,-97.07641855372631,49.801597391786515,-97.07646408690664,49.8015580361813,-97.07640499298552,49.80166448211052,-97.07628251875043
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),85,49.80151733324532,-97.07669439653216,49.8014904949615,-97.07685571949357,49.80139102540591,-97.07680616790446,49.80145102946126,-97.07663993775554
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),83,49.80153163262154,-97.0766648709126,49.80145261552583,-97.07677126418376,49.80140970739587,-97.07670545912211,49.80146011522895,-97.07659160055412
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),199,49.80192980787245,-97.07834914228935,49.80191670784245,-97.07846635163251,49.80204092848999,-97.07831838831649,49.801996208077476,-97.07847126767014
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),21,49.802187519847756,-97.07627239784287,49.80208170647636,-97.07625347327125,49.8021335714227,-97.07612622789539,49.80219186325599,-97.07612380960512
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),31,49.802068970791304,-97.07625670813982,49.80197693263307,-97.07626576330301,49.80198782612288,-97.07615690497,49.80206274931873,-97.076115305152
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),220,49.80217851437554,-97.07835845208265,49.80228002537333,-97.0782700852444,49.802288308986356,-97.0785067843438,49.802183631751724,-97.07851336036568
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),249,49.80249169483498,-97.07814629819194,49.80256567195637,-97.07800347712254,49.80262547939425,-97.07820045435875,49.80256082170465,-97.07826030549795
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),31,49.802068970791304,-97.07625670813982,49.80198977254026,-97.07628428543958,49.80197235085483,-97.0761317746738,49.80205875272474,-97.07612111976313
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),178,49.80169977362011,-97.07820236044395,49.801660272415575,-97.0783466760296,49.80177286667358,-97.07823789307288,49.80173604890457,-97.07832557369021
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),337,49.802621761602744,-97.0766908946785,49.80259750835995,-97.07656622132257,49.80263975126783,-97.07647462790499,49.802698890108196,-97.07660754574972
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),100,49.80143262966376,-97.07693728307052,49.80137453210014,-97.07708737210264,49.80128315111276,-97.07706689581364,49.8013703463586,-97.07689489834759
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),200,49.80194148654076,-97.07835278549544,49.80191545408857,-97.07847062534404,49.80200213797787,-97.07834546913936,49.8020202769198,-97.07856991083314
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),178,49.80169977362011,-97.07820236044395,49.80164868468349,-97.07830213896288,49.80175554068017,-97.0782569250976,49.80173233444015,-97.078387874497
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),149,49.80146834158736,-97.07781264404116,49.8014210353546,-97.0780036624478,49.80140886781948,-97.07786299334158,49.80154913716974,-97.07794392727943
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),56,49.80178063365175,-97.07635670894781,49.80170891611939,-97.07641516539044,49.8016568051352,-97.07626890194514,49.80173084780731,-97.0762532067811
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),182,49.80174066135714,-97.07824024996822,49.80170669728309,-97.07835534823502,49.80179495904537,-97.0782855164755,49.8017679513204,-97.07846546660917
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),198,49.80191817202102,-97.07834518385016,49.80191008305988,-97.07845366022089,49.80198888531929,-97.07839577447747,49.80199230729398,-97.07848582747187
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),72,49.801621505110404,-97.07651753639547,49.80154264639267,-97.07667092286601,49.80147900748974,-97.07649395988088,49.80155727787155,-97.07641867999752
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),102,49.801424526729605,-97.07697199581055,49.80139201184179,-97.0771098293885,49.80129444147368,-97.07710443265066,49.80131379377231,-97.07695019477026
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),135,49.80140840420813,-97.0775721899512,49.80138331667579,-97.07776363147708,49.80132481173758,-97.07761881689758,49.80144753923087,-97.077692840876
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),204,49.80198855806203,-97.07836418523588,49.80198302742499,-97.07849663189427,49.802074602018656,-97.07837115011536,49.80210461053476,-97.07854773992896
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),100,49.80143262966376,-97.07693728307052,49.80140179487067,-97.0770116585029,49.80134894250446,-97.07699069007525,49.8013540904695,-97.07689655809148
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),132,49.801400598644776,-97.07751816065932,49.801395828363376,-97.07767421036344,49.8013368148479,-97.07767822511033,49.80132401987602,-97.07757093418604
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),307,49.802749056412054,-97.07720156832386,49.802721859392825,-97.0770604540922,49.802789940978016,-97.07707899824507,49.802822715063684,-97.07718255614061
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),243,49.80243325245957,-97.07820997494458,49.802504610808555,-97.07812920799138,49.802525495226035,-97.07825029650665,49.802472653005466,-97.07828828326964
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),89,49.80149077243463,-97.07675567641765,49.80147913934452,-97.076915182742,49.80137988938765,-97.07685824462324,49.80141658375096,-97.07669245918873
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),186,49.801783155393075,-97.07827362824287,49.80174354645661,-97.07839079719518,49.8018840690504,-97.07832094841217,49.801859741715994,-97.0784512439059
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),311,49.80274232953348,-97.07712849074385,49.80271029328346,-97.07696552603161,49.802779670165016,-97.07699410431152,49.802831342839816,-97.07706896321595
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),244,49.80244328682644,-97.07820002612475,49.80252045970408,-97.07810756273544,49.80255890006555,-97.07828404683973,49.80247618427429,-97.07833143778899
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),57,49.801769891656434,-97.07636468921896,49.801720728119264,-97.07642623611608,49.80166795403195,-97.076312954554,49.80172103476667,-97.07625088443774
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),90,49.80148456867796,-97.07677143354954,49.80146034798916,-97.07685821312107,49.80136379937245,-97.07686681571937,49.80142322074152,-97.07668207491811
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),108,49.80140497369111,-97.0770784642401,49.80128809524452,-97.07716189018284,49.801302945748354,-97.07704953279385,49.801409061270235,-97.07722280477586
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),295,49.80274934726139,-97.07742265947452,49.80272104473792,-97.0772846369264,49.80283296473451,-97.07727813609263,49.802853639036364,-97.07743341474779
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),7,49.802346719826815,-97.07634725582761,49.80226747782075,-97.07629052316878,49.80228622050725,-97.07619524418797,49.802386637628146,-97.0761900238934
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),79,49.80156218223199,-97.07660822813536,49.801483626400966,-97.07667602643042,49.80143758229468,-97.07663821329434,49.80151139486594,-97.07654739408926
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),18,49.80222255249021,-97.07628332491205,49.80216585835051,-97.0762124871227,49.80213939858241,-97.07615655929611,49.802231624325124,-97.07612407619791
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),1,49.80241044551178,-97.07639730868694,49.80231409404991,-97.07635025221903,49.80236142403241,-97.07620282446324,49.8024322044303,-97.07624792672367
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),283,49.802719962998204,-97.07763901274762,49.802739252572096,-97.077488744277,49.802855352461144,-97.07756114780223,49.80282171914003,-97.07768137162499
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),54,49.801802379112026,-97.07634162576784,49.801703016250194,-97.0763971298264,49.80168144151792,-97.07624120091303,49.80178049244255,-97.07619673797677
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),274,49.80267917557913,-97.07779246050134,49.80271027697756,-97.07767577873501,49.80277416294151,-97.07777194170066,49.80278188162599,-97.07783195181301
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),94,49.80146155610936,-97.07683606676864,49.80133827941831,-97.07689414704859,49.80138326742862,-97.07678995642655,49.80146282448754,-97.07698784105048
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),123,49.80138825690574,-97.077353319205,49.80137185198271,-97.07750450211466,49.80131588238289,-97.07744236057411,49.80131666062091,-97.07737011470442
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),54,49.801802379112026,-97.07634162576784,49.801737051336715,-97.07640727085742,49.801663940977825,-97.07630339811982,49.801756402799,-97.07622392151087
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),276,49.80268957631357,-97.07775924950242,49.802713058872534,-97.07760565428785,49.80278914168659,-97.07768215749371,49.802766453123674,-97.07782827227062
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),356,49.80246073248519,-97.07644672043733,49.80241215219371,-97.07634889939621,49.8024235685336,-97.07626595300502,49.80251380866577,-97.07630137966329
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),224,49.80222526363506,-97.07834422062172,49.80230178486298,-97.07830831100512,49.80237622324772,-97.07843571831005,49.80224241101854,-97.07847269452846
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),278,49.80269922262803,-97.07772549632867,49.80271349385878,-97.07752944933586,49.802786296233975,-97.07763319554094,49.802782680469555,-97.07777811756411
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),275,49.8026844694782,-97.07777592531879,49.802752068346834,-97.07761923474384,49.802798505011644,-97.07770923616552,49.802748373547054,-97.07784308755403
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),205,49.80200039723085,-97.0783662375582,49.80209142430043,-97.07838255539157,49.8020573861145,-97.07848682366945,49.802006362228084,-97.0784839119963
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),15,49.80225716801355,-97.07629707772271,49.80213956953306,-97.07629974652775,49.80218188178588,-97.07614206430078,49.802287948193445,-97.0761505204891
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),209,49.802047930900606,-97.0783712376397,49.802104865758025,-97.07838842209205,49.802132186613804,-97.07846276434852,49.80205471371742,-97.07847107863877
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),257,49.802562333784536,-97.07804735015445,49.802624675397645,-97.077945580863,49.802712610116586,-97.07806583544615,49.802637230802084,-97.07815795427506
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),124,49.80138880079463,-97.0773717572242,49.80127126326654,-97.07750823361847,49.80129465826184,-97.07739071327201,49.80142032531157,-97.07746271701122
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),89,49.80149077243463,-97.07675567641765,49.801406348460276,-97.07689232305971,49.80137874550915,-97.07681718654794,49.80138790502211,-97.0766810359672
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),164,49.80157211017119,-97.07803707364975,49.80150977078405,-97.0781345698906,49.80163703857467,-97.07813453783605,49.80160670636851,-97.07824747993423
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),129,49.80139462884456,-97.07746357250653,49.80139007006026,-97.07758635407082,49.80131595326289,-97.07766592112128,49.801317854823395,-97.07750975813694
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),227,49.80225984268681,-97.07833024929921,49.80231189426074,-97.07824386202317,49.80237972429123,-97.07840329738663,49.80230645063307,-97.07848902206091
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),285,49.80272688244605,-97.07760368969731,49.8027466825504,-97.07746704391467,49.802842144985775,-97.07751605231205,49.80281861581045,-97.07761674978761
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),116,49.80139026866651,-97.07722423467166,49.80137027707808,-97.0774173411762,49.801306148317295,-97.07731392891763,49.80130068686885,-97.07722555086107
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),248,49.802482258303144,-97.07815756417764,49.80254569523926,-97.07812463537928,49.80263176886553,-97.07811151179746,49.802554802577205,-97.07826548783535
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),203,49.80197674381434,-97.07836181309708,49.80197296769451,-97.0784803300792,49.80209278535862,-97.07833399261659,49.8020679224818,-97.07848785097184
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),260,49.802586422836775,-97.07800645312892,49.802622921088606,-97.07789593311693,49.802711281964534,-97.07798357437888,49.802638836063075,-97.07808568898108
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),239,49.80239204067531,-97.07824701266902,49.80248390457582,-97.07821321071715,49.8024918478362,-97.07830063050956,49.80244981143048,-97.0783520237992
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),88,49.80149715273968,-97.0767400894289,49.80141442155941,-97.0768452996481,49.801369082931586,-97.0768470718643,49.80142004879304,-97.07663466722872
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),98,49.80144150957292,-97.07690302959776,49.80140415181791,-97.07704289707493,49.801301536230675,-97.07694695662609,49.80135953597652,-97.07682738056512
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),150,49.80147404725599,-97.07782884670476,49.80143257712627,-97.07798247465736,49.80139644792637,-97.07790676479686,49.80153143174968,-97.07798775455642
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),352,49.80249884063681,-97.07649102350284,49.802427721352345,-97.07639377883311,49.802458944499065,-97.07630379813803,49.80256439956114,-97.07636767005869
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),286,49.80273004270634,-97.07758589322388,49.802760858173805,-97.07748640557857,49.802862922065216,-97.07748769213995,49.8028173476714,-97.07763113106154
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),177,49.80168982619941,-97.07819220434261,49.80162697156414,-97.07833421904257,49.8017739831961,-97.07826614323004,49.801723239569135,-97.07836593408787
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),16,49.80224568173549,-97.07629218164944,49.8021601502142,-97.07628600727269,49.80220635203426,-97.07611602354055,49.80226371490631,-97.0761258235265
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),92,49.801472698313965,-97.0768034389937,49.80146179187762,-97.07694594702811,49.801353625518026,-97.07686990188127,49.80139639479469,-97.07675526571997
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),35,49.802021360230576,-97.07625943567464,49.801951031829546,-97.07625589427052,49.80192039705981,-97.07621311299593,49.802018093067375,-97.07610679882139
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),357,49.80245090082441,-97.07643629709972,49.802364001905154,-97.076310418877,49.802411363630725,-97.07624954052082,49.802487057440395,-97.07631926002273
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),305,49.80275118131423,-97.07723833537912,49.80269543758736,-97.07709028619261,49.802825130255336,-97.07709235796717,49.80284833193478,-97.07718734613852
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),236,49.802360092114895,-97.07827181775625,49.802403592977875,-97.07822713957701,49.8024689642001,-97.07838726229913,49.80241367157845,-97.0783827775888
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),136,49.801411410456176,-97.07759004987703,49.80135998884159,-97.07776257274979,49.80135246792466,-97.07764028243533,49.801472479057786,-97.07771124558079
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),110,49.80140006773558,-97.07711458632443,49.80137693716775,-97.07730774970346,49.80131795494712,-97.07723686474193,49.80131846460298,-97.0771047293768
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),187,49.801794005783485,-97.07828124837654,49.801756248916966,-97.07844282392233,49.80187595240052,-97.07834363490583,49.801846060365804,-97.0784717053294
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),167,49.80159720915881,-97.07807648496446,49.80155886891873,-97.07819121365738,49.801695434914734,-97.07815107524321,49.801634100374315,-97.07825709443473
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),340,49.80259994922734,-97.07664703771194,49.8025670954967,-97.07650513108587,49.80263102517605,-97.07648725234067,49.80266550320422,-97.07655021113479
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),61,49.80172787125424,-97.07639947709997,49.80166767842133,-97.07650050379263,49.80160463370398,-97.07636118423339,49.801661954875364,-97.07627493127254
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),46,49.801892355301426,-97.07629330487363,49.80180813764115,-97.07639318054767,49.80177594190979,-97.07621165125269,49.80186283787123,-97.07616412191115
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),129,49.80139462884456,-97.07746357250653,49.80135440424964,-97.0776535869458,49.80131913727073,-97.07750801890583,49.80140228782845,-97.0775613699025
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),290,49.802740665577424,-97.07751393444802,49.802778831651665,-97.0774002123749,49.80284414093365,-97.0773281963017,49.802824599029854,-97.07752280715016
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),49,49.80185811229719,-97.07630913875957,49.80175733285448,-97.07636850043689,49.80174993201585,-97.07617328653794,49.80180485299358,-97.07616767464606
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),190,49.8018270487052,-97.07830233264333,49.801802188839524,-97.07843580344284,49.801936870105344,-97.0783289353043,49.801896422233334,-97.07848950437437
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),205,49.80200039723085,-97.0783662375582,49.80198949880777,-97.07848862118952,49.80207831469652,-97.0783435731239,49.80208611512611,-97.07850701617811
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),154,49.80149866815279,-97.07789204130025,49.801459643292766,-97.07806275246364,49.80144849326608,-97.0779503679361,49.80157650432744,-97.07803808753894
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),123,49.80138825690574,-97.077353319205,49.8012903639916,-97.07753806169353,49.80130401526361,-97.07736473074148,49.80141324748821,-97.07750693570023
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),224,49.80222526363506,-97.07834422062172,49.80232273129989,-97.07836707972916,49.80234420021975,-97.07838995610084,49.802259425753334,-97.07846653842823
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),347,49.802543519498116,-97.07655201538064,49.80247751314007,-97.07646041435531,49.802514986733435,-97.07636685189244,49.80258905561511,-97.07641574061725
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),349,49.80252606161744,-97.07652689545145,49.802435741960274,-97.0764981017047,49.80250944411021,-97.07633797584616,49.802593857229134,-97.07638917553433
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),308,49.802747683675925,-97.07718323348996,49.80275658120484,-97.07709460769848,49.80282209803354,-97.07700474339462,49.80284478546939,-97.0771759555199
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),38,49.801985796356455,-97.07626485544557,49.80191069928856,-97.07626165623745,49.801856889616396,-97.0761558425775,49.801982515364756,-97.07614607078705
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),150,49.80147404725599,-97.07782884670476,49.80146748578929,-97.07807076977254,49.80140028179155,-97.07790126288036,49.80150135561504,-97.07791819494902
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),154,49.80149866815279,-97.07789204130025,49.80147937042292,-97.07806791700548,49.80141900485156,-97.07799148070029,49.801562229945475,-97.07801210105917
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),200,49.80194148654076,-97.07835278549544,49.80192080343555,-97.07849769144939,49.802020550719114,-97.07832555328795,49.802005698375204,-97.07852711224288
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),103,49.80142076975041,-97.0769895112104,49.80139596382583,-97.07718717380543,49.80132449208463,-97.07708184462247,49.801327772557,-97.07697082025419
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),206,49.802012257714516,-97.07836796943862,49.80209689960238,-97.07837565069418,49.80206624230979,-97.07852897183292,49.80203795597912,-97.0785118583656
